제목,이미지URL,상세링크
/thumb?width=178&height=267&m_code=20232394&source=https://www.moviechart.co.kr/assets/upload/movie/250402104633_1356.jpg,https://www.moviechart.co.kr/info/movieinfo/detail/20232394,야당
https://www.moviechart.co.kr/info/movieinfo/detail/20253280,A MINECRAFT MOVIE 마인크래프트 무비,/thumb?width=178&height=267&m_code=20253280&source=https://www.moviechart.co.kr/assets/upload/movie/250410153916_5897.jpg
https://www.moviechart.co.kr/info/movieinfo/detail/20253101,/thumb?width=178&height=267&m_code=20253101&source=https://www.moviechart.co.kr/assets/upload/movie/250305060135_8572.jpg,극장판 진격의 거인 완결편 더 라스트 어택
https://www.moviechart.co.kr/info/movieinfo/detail/20203863,/thumb?width=178&height=267&m_code=20203863&source=https://www.moviechart.co.kr/assets/upload/movie/250307160715_7814.jpg,승부
마리아,/thumb?width=178&height=267&m_code=20249269&source=https://www.moviechart.co.kr/assets/upload/movie/250409095759_6674.jpg,https://www.moviechart.co.kr/info/movieinfo/detail/20249269
https://www.moviechart.co.kr/info/movieinfo/detail/20246298,/thumb?width=178&height=267&m_code=20246298&source=https://www.moviechart.co.kr/assets/upload/movie/250409100032_3050.jpg,우리가 빛이라 상상하는 모든 것
/thumb?width=178&height=267&m_code=20249250&source=https://www.moviechart.co.kr/assets/upload/movie/250319094556_9942.jpg,브리짓 존스의 일기: 뉴 챕터,https://www.moviechart.co.kr/info/movieinfo/detail/20249250
https://www.moviechart.co.kr/info/movieinfo/detail/20253651,/thumb?width=178&height=267&m_code=20253651&source=https://www.moviechart.co.kr/assets/upload/movie/250416113711_1388.jpg,압수수색: 내란의 시작
/thumb?width=178&height=267&m_code=20249251&source=https://www.moviechart.co.kr/assets/upload/movie/250220175109_5523.jpg,콘클라베,https://www.moviechart.co.kr/info/movieinfo/detail/20249251
https://www.moviechart.co.kr/info/movieinfo/detail/20253471,/thumb?width=178&height=267&m_code=20253471&source=https://www.moviechart.co.kr/assets/upload/movie/250416170315_7237.jpg,사유리
/thumb?width=178&height=267&m_code=20246665&source=https://www.moviechart.co.kr/assets/upload/movie/250402101349_6040.jpg,https://www.moviechart.co.kr/info/movieinfo/detail/20246665,아마추어
침범,/thumb?width=178&height=267&m_code=20236573&source=https://www.moviechart.co.kr/assets/upload/movie/250304162623_4436.jpg,https://www.moviechart.co.kr/info/movieinfo/detail/20236573
하보우만의 약속,https://www.moviechart.co.kr/info/movieinfo/detail/20253236,/thumb?width=178&height=267&m_code=20253236&source=https://www.moviechart.co.kr/assets/upload/movie/250414101156_5299.jpg
/thumb?width=178&height=267&m_code=20253200&source=https://www.moviechart.co.kr/assets/upload/movie/250320115029_1499.jpg,https://www.moviechart.co.kr/info/movieinfo/detail/20253200,베러맨
본회퍼: 목사.스파이.암살자,https://www.moviechart.co.kr/info/movieinfo/detail/20253060,/thumb?width=178&height=267&m_code=20253060&source=https://www.moviechart.co.kr/assets/upload/movie/250327144726_9134.jpg
https://www.moviechart.co.kr/info/movieinfo/detail/20253297,기동전사 건담 지쿠악스 비기닝,/thumb?width=178&height=267&m_code=20253297&source=https://www.moviechart.co.kr/assets/upload/movie/250326112529_3313.jpg
/thumb?width=178&height=267&m_code=20240614&source=https://www.moviechart.co.kr/assets/upload/movie/250131162654_1340.jpg,퇴마록,https://www.moviechart.co.kr/info/movieinfo/detail/20240614
/thumb?width=178&height=267&m_code=20253331&source=https://www.moviechart.co.kr/assets/upload/movie/250408172930_2040.jpg,https://www.moviechart.co.kr/info/movieinfo/detail/20253331,열혈검사
/thumb?width=178&height=267&m_code=20247693&source=https://www.moviechart.co.kr/assets/upload/movie/241113095212_6919.jpg,https://www.moviechart.co.kr/info/movieinfo/detail/20247693,위키드
/thumb?width=178&height=267&m_code=20252745&source=https://www.moviechart.co.kr/assets/upload/movie/250319094918_4542.jpg,https://www.moviechart.co.kr/info/movieinfo/detail/20252745,그랜드 투어
